Country,Year,Population
USA,1979,227.599878
USA,1980,229.763052
USA,1981,231.938963
USA,1982,234.132632
USA,1983,236.344004
USA,1984,238.573861
USA,1985,240.82412
USA,1986,243.098935
USA,1987,245.402864
USA,1988,247.739582
USA,1989,250.113187
USA,1990,252.52995
USA,1991,254.974819
USA,1992,257.454273
USA,1993,260.020186
USA,1994,262.741566
USA,1995,265.658849
USA,1996,268.803424
USA,1997,272.136551
USA,1998,275.542603
USA,1999,278.862277
USA,2000,281.982778
USA,2001,284.852391
USA,2002,287.506847
USA,2003,290.027624
USA,2004,292.539324
USA,2005,295.129501
USA,2006,297.827356
USA,2007,300.595175
USA,2008,303.374067
USA,2009,306.076362
USA,2010,308.641391
USA,2011,311.051373
USA,2012,313.335423
USA,2013,315.536676
USA,2014,317.718779
USA,2015,319.929162
USA,2016,322.179605
USA,2017,324.459463
USA,2018,326.766748
USA,2019,329.09311
USA,2020,331.0026
